timestamp,provider,model,latency_s
"2025-10-27T09:57:04.002820","ollama","gemma3:4b",1.476440
"2025-10-27T09:56:32.480233","ollama","gemma3:4b",1.572089
"2025-10-27T09:56:00.855735","ollama","gemma3:4b",1.526547
"2025-10-27T09:55:29.277980","ollama","gemma3:4b",1.665237
"2025-10-27T09:54:57.559659","ollama","gemma3:4b",1.570989
"2025-10-27T09:54:25.940169","ollama","gemma3:4b",1.528316
"2025-10-27T09:53:54.360961","ollama","gemma3:4b",1.690798
"2025-10-27T09:53:22.613151","ollama","gemma3:4b",1.619123
"2025-10-27T09:52:50.944076","ollama","gemma3:4b",1.666424
"2025-10-27T09:52:19.226382","ollama","gemma3:4b",1.722856
"2025-10-27T09:51:47.448308","ollama","gemma3:4b",1.771461
"2025-10-27T09:51:15.626586","ollama","gemma3:4b",1.635131
"2025-10-27T09:50:43.938579","ollama","gemma3:4b",1.575759
"2025-10-27T09:50:12.305607","ollama","gemma3:4b",1.614246
"2025-10-27T09:49:40.637661","ollama","gemma3:4b",1.608313
"2025-10-27T09:49:08.976014","ollama","gemma3:4b",1.657915
"2025-10-27T09:48:37.265621","ollama","gemma3:4b",1.551510
"2025-10-27T09:48:05.661679","ollama","gemma3:4b",1.525781
"2025-10-27T09:47:34.084060","ollama","gemma3:4b",1.576254
"2025-10-27T09:47:02.454700","ollama","gemma3:4b",1.892488
"2025-10-27T09:46:30.039024","ollama","gemma3:4b",1.679392
"2025-10-27T09:45:58.304944","ollama","gemma3:4b",1.609224
"2025-10-27T09:45:26.640712","ollama","gemma3:4b",1.612189
"2025-10-27T09:44:54.974860","ollama","gemma3:4b",1.570736
"2025-10-27T09:44:23.346942","ollama","gemma3:4b",1.739922
"2025-10-27T09:43:51.552263","ollama","gemma3:4b",1.660247
"2025-10-27T09:43:19.835902","ollama","gemma3:4b",1.709000
"2025-10-27T09:42:48.074165","ollama","gemma3:4b",1.637442
"2025-10-27T09:42:16.378182","ollama","gemma3:4b",1.607551
"2025-10-27T09:41:44.718207","ollama","gemma3:4b",1.893258
"2025-10-27T09:41:12.774478","ollama","gemma3:4b",1.684589
"2025-10-27T09:40:41.037088","ollama","gemma3:4b",1.629338
"2025-10-27T09:40:09.355414","ollama","gemma3:4b",1.521647
"2025-10-27T09:39:37.782870","ollama","gemma3:4b",1.635989
"2025-10-27T09:39:06.093822","ollama","gemma3:4b",1.680788
"2025-10-27T09:38:34.360841","ollama","gemma3:4b",1.644255
"2025-10-27T09:38:02.663135","ollama","gemma3:4b",1.818201
"2025-10-27T09:37:30.787978","ollama","gemma3:4b",1.607225
"2025-10-27T09:36:59.125367","ollama","gemma3:4b",1.704913
"2025-10-27T09:36:27.363682","ollama","gemma3:4b",1.620428
"2025-10-27T09:35:55.686772","ollama","gemma3:4b",1.737004
"2025-10-27T09:35:23.894715","ollama","gemma3:4b",1.626929
"2025-10-27T09:34:52.214938","ollama","gemma3:4b",1.663426
"2025-10-27T09:34:20.299047","ollama","gemma3:4b",1.529700
"2025-10-27T09:33:48.716199","ollama","gemma3:4b",1.710099
"2025-10-27T09:33:16.955281","ollama","gemma3:4b",1.639270
"2025-10-27T09:32:45.265420","ollama","gemma3:4b",1.750167
"2025-10-27T09:32:13.457728","ollama","gemma3:4b",1.585419
"2025-10-27T09:31:41.818171","ollama","gemma3:4b",1.795092
"2025-10-27T09:31:09.970989","ollama","gemma3:4b",1.724479
"2025-10-27T09:30:38.193322","ollama","gemma3:4b",1.756186
"2025-10-27T09:30:06.391722","ollama","gemma3:4b",1.786710
"2025-10-27T09:29:34.549173","ollama","gemma3:4b",1.793004
"2025-10-27T09:29:02.706190","ollama","gemma3:4b",1.408606
"2025-10-27T09:28:31.245502","ollama","gemma3:4b",1.667413
"2025-10-27T09:27:59.523332","ollama","gemma3:4b",1.782919
"2025-10-27T09:27:27.688474","ollama","gemma3:4b",1.541378
"2025-10-27T09:26:56.090720","ollama","gemma3:4b",1.633608
"2025-10-27T09:26:24.404830","ollama","gemma3:4b",1.642300
"2025-10-27T09:25:52.710174","ollama","gemma3:4b",1.741458
"2025-10-27T09:25:20.913724","ollama","gemma3:4b",1.543668
"2025-10-27T09:24:49.316496","ollama","gemma3:4b",1.573854
"2025-10-27T09:24:17.689275","ollama","gemma3:4b",1.690087
"2025-10-27T09:23:45.947630","ollama","gemma3:4b",1.482236
